# no  word                  pos           zh                                                                                                                            example                                                    added       right  wrong  last_test   tags            sense
31    angel                 n.            天使                                                                                                                          She looks like an angel.                                   2026-09-10  1      0      2026-09-10  -               多義
32    different             adj.          不同的                                                                                                                        We are different.                                          2026-09-10  1      0      2026-09-10  -               單義
33    brown                 adj./n.       棕色的、棕色                                                                                                                  I have brown shoes.                                        2026-09-10  1      0      2026-09-10  顏色            多義
34    sea                   n.            海                                                                                                                            The sea is blue.                                           2026-09-10  1      0      2026-09-10  -               多義
35    angry                 adj.          生氣的                                                                                                                        He is angry with me.                                       2026-09-10  7      2      2026-09-15  -               單義
36    difficult             adj.          困難的                                                                                                                        This book is difficult.                                    2026-09-10  31     8      2026-09-17  基礎字          單義
37    borrow                v.            借（借入）                                                                                                                    Can I borrow your pen?                                     2026-09-10  37     10     2026-09-17  基礎字          單義
38    weather               n.            天氣                                                                                                                          The weather is nice today.                                 2026-09-10  31     7      2026-09-16  天氣            多義
39    quiet                 adj.          安靜的                                                                                                                        Please be quiet.                                           2026-09-10  25     6      2026-09-17  基礎字          單義
40    quite                 adv.          相當、頗                                                                                                                      It is quite cold.                                          2026-09-10  34     6      2026-09-17  基礎字          單義
41    sell                  v.            賣                                                                                                                            They sell fruit here.                                      2026-09-10  1      1      2026-09-15  -               多義
42    heavy                 adj.          重的                                                                                                                          This bag is heavy.                                         2026-09-10  27     6      2026-09-16  基礎字          多義
43    decide                v.            決定                                                                                                                          I decide to go now.                                        2026-09-10  5      3      2026-09-17  基礎字          單義
44    refuse                v.            拒絕                                                                                                                          He refused my help.                                        2026-09-10  1      1      2026-09-16  基礎字          多義
45    improve               v.            改善、進步                                                                                                                    My English is improving.                                   2026-09-10  1      1      2026-09-16  基礎字          單義
46    curious               adj.          好奇的                                                                                                                        I am curious about it.                                     2026-09-10  1      1      2026-09-17  基礎字          多義
47    appreciate            v.            感謝、欣賞                                                                                                                    I appreciate your help.                                    2026-09-10  1      1      2026-09-16  -               多義
48    reluctant             adj.          不情願的、勉強的                                                                                                              He was reluctant to go.                                    2026-09-10  1      6      2026-09-17  基礎字          單義
49    mitigate              v.            減輕、緩解                                                                                                                    Sunscreen mitigates sun damage.                            2026-09-10  1      1      2026-09-15  -               單義
50    ready                 adj.          準備好的                                                                                                                      I am ready now.                                            2026-09-10  1      0      2026-09-10  -               單義
51    safe                  adj.          安全的                                                                                                                        This place is safe.                                        2026-09-10  2      1      2026-09-15  -               多義
52    visit                 v./n.         拜訪、參觀                                                                                                                    I visit my grandma.                                        2026-09-10  1      0      2026-09-10  -               單義
53    bring                 v.            帶來                                                                                                                          Bring your book to school.                                 2026-09-10  5      2      2026-09-16  基礎字          極多義
54    strong                adj.          強壯的                                                                                                                        He is very strong.                                         2026-09-10  1      1      2026-09-16  工程師、基礎字  多義
55    worry                 v./n.         擔心                                                                                                                          Don't worry about it.                                      2026-09-10  14     4      2026-09-17  基礎字          多義
56    holiday               n.            假日、節日                                                                                                                    We have a holiday today.                                   2026-09-10  15     3      2026-09-17  時間            單義
57    kitchen               n.            廚房                                                                                                                          Mom is in the kitchen.                                     2026-09-10  1      1      2026-09-16  居家            單義
58    dog                   n.            狗                                                                                                                            The dog is cute.                                           2026-09-10  1      0      2026-09-10  動物            多義
59    school                n.            學校                                                                                                                          I go to school.                                            2026-09-10  2      1      2026-09-11  -               多義
60    milk                  n.            牛奶                                                                                                                          I drink milk.                                              2026-09-10  1      0      2026-09-10  食物            多義
61    sleep                 v.            睡覺                                                                                                                          I sleep at ten.                                            2026-09-10  1      0      2026-09-10  -               單義
62    night                 n.            晚上                                                                                                                          Good night!                                                2026-09-10  1      0      2026-09-10  -               單義
63    jump                  v.            跳                                                                                                                            The cat can jump high.                                     2026-09-10  4      0      2026-09-17  基礎字          多義
64    family                n.            家庭、家人                                                                                                                    I love my family.                                          2026-09-10  1      0      2026-09-10  -               單義
65    help                  v./n.         幫助                                                                                                                          Can you help me?                                           2026-09-10  4      0      2026-09-17  -               多義
66    play                  v.            玩、打（球）                                                                                                                  I play with my dog.                                        2026-09-10  4      0      2026-09-17  基礎字          極多義
67    music                 n.            音樂                                                                                                                          I like music.                                              2026-09-10  1      0      2026-09-10  -               單義
68    hand                  n.            手                                                                                                                            Wash your hands.                                           2026-09-10  1      1      2026-09-10  身體部位        極多義
69    chair                 n.            椅子                                                                                                                          Sit on the chair.                                          2026-09-10  1      1      2026-09-16  居家            多義
70    table                 n.            桌子；資料表（資料庫的一張表）                                                                                                Put the book on the table.                                 2026-09-10  1      0      2026-09-10  工程師          多義
71    window                n.            窗戶                                                                                                                          Open the window, please.                                   2026-09-10  6      0      2026-09-17  居家            多義
72    brother               n.            兄弟                                                                                                                          My brother is tall.                                        2026-09-10  1      0      2026-09-10  家人            單義
73    teacher               n.            老師                                                                                                                          She is my teacher.                                         2026-09-10  1      0      2026-09-10  -               單義
74    apple                 n.            蘋果                                                                                                                          I eat an apple.                                            2026-09-10  1      0      2026-09-10  食物            單義
75    green                 adj./n.       綠色的、綠色                                                                                                                  The tree is green.                                         2026-09-10  1      0      2026-09-10  顏色            多義
76    rice                  n.            米、飯                                                                                                                        I eat rice for lunch.                                      2026-09-10  1      0      2026-09-10  食物            單義
77    letter                n.            信、字母                                                                                                                      I write a letter to him.                                   2026-09-10  15     3      2026-09-17  基礎字          多義
78    movie                 n.            電影                                                                                                                          We watch a movie.                                          2026-09-10  1      0      2026-09-10  -               單義
79    dance                 v./n.         跳舞                                                                                                                          I like to dance.                                           2026-09-10  1      0      2026-09-10  -               單義
80    week                  n.            星期、週                                                                                                                      I see him every week.                                      2026-09-10  1      0      2026-09-10  -               單義
81    minute                n.            分鐘                                                                                                                          Wait a minute.                                             2026-09-10  1      0      2026-09-10  -               多義
82    breakfast             n.            早餐                                                                                                                          I eat breakfast at seven.                                  2026-09-10  1      1      2026-09-15  食物            單義
83    animal                n.            動物                                                                                                                          A dog is an animal.                                        2026-09-10  1      0      2026-09-10  -               單義
84    always                adv.          總是、永遠                                                                                                                    She is always happy.                                       2026-09-10  1      0      2026-09-10  -               單義
85    because               conj.         因為                                                                                                                          I am late because of rain.                                 2026-09-10  9      3      2026-09-17  基礎字          單義
86    hospital              n.            醫院                                                                                                                          He is in the hospital.                                     2026-09-10  1      0      2026-09-10  -               單義
87    favorite              adj.          最喜歡的                                                                                                                      Blue is my favorite color.                                 2026-09-10  1      1      2026-09-15  -               單義
88    dinner                n.            晚餐                                                                                                                          We have dinner at six.                                     2026-09-10  1      0      2026-09-10  食物            單義
89    library               n.            圖書館（程式領域也指「函式庫」）                                                                                              I read in the library.                                     2026-09-10  1      0      2026-09-10  工程師          單義
90    birthday              n.            生日                                                                                                                          Happy birthday to you!                                     2026-09-10  1      1      2026-09-16  基礎字          單義
91    expensive             adj.          昂貴的                                                                                                                        This bag is expensive.                                     2026-09-10  1      1      2026-09-16  -               單義
92    delicious             adj.          好吃的                                                                                                                        The cake is delicious.                                     2026-09-10  1      1      2026-09-17  食物            單義
93    umbrella              n.            雨傘                                                                                                                          Take an umbrella today.                                    2026-09-10  11     2      2026-09-17  -               多義
94    bicycle               n.            腳踏車                                                                                                                        I ride a bicycle to school.                                2026-09-10  1      0      2026-09-10  -               單義
95    doctor                n.            醫生                                                                                                                          The doctor is very kind.                                   2026-09-10  1      0      2026-09-10  -               多義
96    restaurant            n.            餐廳                                                                                                                          We eat at a restaurant.                                    2026-09-10  1      1      2026-09-17  餐廳            單義
97    vegetable             n.            蔬菜                                                                                                                          I eat vegetables every day.                                2026-09-10  1      1      2026-09-17  食物            單義
98    weekend               n.            週末                                                                                                                          I play ball on the weekend.                                2026-09-10  1      0      2026-09-10  -               單義
99    homework              n.            家庭作業                                                                                                                      I do my homework at night.                                 2026-09-10  1      1      2026-09-11  -               單義
100   lunch                 n.            午餐                                                                                                                          I eat lunch at noon.                                       2026-09-10  1      0      2026-09-10  食物            單義
101   sister                n.            姊姊、妹妹                                                                                                                    My sister is ten.                                          2026-09-10  1      0      2026-09-10  家人            單義
102   student               n.            學生                                                                                                                          I am a student.                                            2026-09-10  1      0      2026-09-10  -               單義
103   bread                 n.            麵包                                                                                                                          I eat bread for breakfast.                                 2026-09-10  22     4      2026-09-17  食物            多義
104   bird                  n.            鳥                                                                                                                            The bird can fly.                                          2026-09-10  3      0      2026-09-17  動物            單義
105   tree                  n.            樹                                                                                                                            The tree is very tall.                                     2026-09-10  1      0      2026-09-10  -               單義
106   three                 n./adj.       三                                                                                                                            I have three cats.                                         2026-09-10  1      0      2026-09-10  -               單義
107   flower                n.            花                                                                                                                            The flower is red.                                         2026-09-10  1      0      2026-09-10  -               多義
108   house                 n.            房子                                                                                                                          My house is small.                                         2026-09-10  1      0      2026-09-10  -               多義
109   hot                   adj.          熱的                                                                                                                          The soup is hot.                                           2026-09-10  1      0      2026-09-10  天氣            極多義
110   snow                  n./v.         雪、下雪                                                                                                                      It will snow tonight.                                      2026-09-10  1      0      2026-09-10  天氣            單義
111   bus                   n.            公車、巴士                                                                                                                    I go to school by bus.                                     2026-09-10  1      0      2026-09-10  -               單義
112   store                 n./v.         商店、儲存                                                                                                                    I buy milk at the store.                                   2026-09-10  1      1      2026-09-16  基礎字          多義
113   park                  n.            公園                                                                                                                          We play in the park.                                       2026-09-10  1      0      2026-09-10  -               多義
114   river                 n.            河                                                                                                                            The river is long.                                         2026-09-10  5      0      2026-09-17  自然            單義
115   paper                 n.            紙                                                                                                                            Give me a piece of paper.                                  2026-09-10  1      0      2026-09-10  -               多義
116   pencil                n.            鉛筆                                                                                                                          I write with a pencil.                                     2026-09-10  1      0      2026-09-10  -               單義
117   later                 adv.          稍後、後來                                                                                                                    See you later!                                             2026-09-10  1      0      2026-09-10  -               單義
118   train                 n.            火車                                                                                                                          I go by train.                                             2026-09-10  1      0      2026-09-10  -               多義
119   clock                 n.            時鐘                                                                                                                          The clock is on the wall.                                  2026-09-10  1      0      2026-09-10  -               多義
120   shoes                 n.            鞋子                                                                                                                          My shoes are new.                                          2026-09-10  1      0      2026-09-10  服飾            單義
121   cook                  v./n.         煮、廚師                                                                                                                      My mom cooks dinner.                                       2026-09-10  1      1      2026-09-15  -               單義
122   corner                n.            角落、轉角                                                                                                                    The cat is in the corner.                                  2026-09-10  1      1      2026-09-16  -               多義
123   floor                 n.            地板                                                                                                                          The floor is clean.                                        2026-09-10  1      1      2026-09-16  -               多義
124   flour                 n.            麵粉                                                                                                                          Bread is made of flour.                                    2026-09-10  1      1      2026-09-17  食物            單義
125   grass                 n.            草                                                                                                                            The grass is green.                                        2026-09-10  23     5      2026-09-16  植物            多義
126   glass                 n.            玻璃、玻璃杯                                                                                                                  I drink a glass of milk.                                   2026-09-10  7      2      2026-09-16  餐廳            多義
127   bottle                n.            瓶子                                                                                                                          Give me a bottle of water.                                 2026-09-10  1      1      2026-09-16  -               多義
128   spoon                 n.            湯匙                                                                                                                          I eat soup with a spoon.                                   2026-09-10  7      2      2026-09-15  -               單義
129   towel                 n.            毛巾                                                                                                                          Dry your hands with a towel.                               2026-09-10  33     7      2026-09-16  居家            多義
130   tower                 n.            塔                                                                                                                            The tower is very tall.                                    2026-09-10  1      1      2026-09-17  基礎字          多義
131   beach                 n.            海灘                                                                                                                          We play on the beach.                                      2026-09-10  1      1      2026-09-16  -               單義
132   bridge                n.            橋                                                                                                                            The bridge is long.                                        2026-09-10  1      1      2026-09-15  -               多義
133   cloud                 n.            雲；雲端（電腦網路領域，如雲端運算、雲端儲存）                                                                                The cloud is white.                                        2026-09-10  5      0      2026-09-17  天氣、工程師    多義
134   ground                n.            地面                                                                                                                          Don't sit on the ground.                                   2026-09-10  1      1      2026-09-16  基礎字          多義
135   cake                  n.            蛋糕                                                                                                                          I want a big cake.                                         2026-09-10  1      1      2026-09-17  食物            多義
136   ball                  n.            球                                                                                                                            Let's play ball.                                           2026-09-10  1      1      2026-09-11  -               多義
137   girl                  n.            女孩                                                                                                                          The girl is my sister.                                     2026-09-10  1      0      2026-09-10  -               單義
138   farm                  n.            農場                                                                                                                          We have a small farm.                                      2026-09-10  1      1      2026-09-16  -               單義
139   winter                n.            冬天                                                                                                                          It is cold in winter.                                      2026-09-10  1      0      2026-09-10  天氣            單義
140   market                n.            市場                                                                                                                          Mom is at the market.                                      2026-09-10  1      1      2026-09-17  基礎字          多義
141   ticket                n.            票                                                                                                                            I have two tickets.                                        2026-09-10  1      0      2026-09-10  -               多義
142   garden                n.            花園                                                                                                                          Flowers are in the garden.                                 2026-09-10  5      2      2026-09-17  居家            單義
143   exercise              n./v.         運動                                                                                                                          I exercise every morning.                                  2026-09-10  2      3      2026-09-17  基礎字          多義
144   careful               adj.          小心的                                                                                                                        Be careful on the road.                                    2026-09-10  1      1      2026-09-17  基礎字          單義
145   dangerous             adj.          危險的                                                                                                                        This road is dangerous.                                    2026-09-10  1      1      2026-09-17  基礎字          單義
146   invite                v.            邀請                                                                                                                          I invite you to my party.                                  2026-09-10  1      1      2026-09-15  -               單義
147   hat                   n.            帽子                                                                                                                          He has a new hat.                                          2026-09-10  1      0      2026-09-10  服飾            單義
148   egg                   n.            蛋                                                                                                                            I eat an egg.                                              2026-09-10  1      0      2026-09-10  食物            多義
149   fish                  n.            魚                                                                                                                            The fish is big.                                           2026-09-10  1      0      2026-09-10  食物、動物      單義
150   foot                  n.            腳                                                                                                                            My foot hurts.                                             2026-09-10  1      0      2026-09-10  身體部位        多義
151   star                  n.            星星                                                                                                                          I see many stars.                                          2026-09-10  7      3      2026-09-17  天氣、自然      多義
152   moon                  n.            月亮                                                                                                                          The moon is bright.                                        2026-09-10  4      0      2026-09-17  天氣            多義
153   king                  n.            國王                                                                                                                          The king is old.                                           2026-09-10  1      0      2026-09-10  -               單義
154   gift                  n.            禮物                                                                                                                          This is a gift for you.                                    2026-09-10  1      0      2026-09-10  -               多義
